Batch,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,avg latency
1,1,698,13,52,12,99,1248,4,0,1429,1436,1438,1441,1428
2,1,1188,13,52,12,146,1450,4,0,1680,1688,1690,1693,1677
4,1,1794.21,13,53,12,246,1892,5,0,2222,2230,2232,2238,2221
8,1,2400,13,53,11,437,2802,5,0,3328,3343,3345,3350,3321
16,1,2848,13,56,113,845,4552,9,0,5621,5664,5668,5684,5588
32,1,3136,35,188,220,1656,7988,12,0,10101,10186,10211,10224,10099
64,1,3328,38,101,134,3953,14902,20,0,19160,19245,19258,19319,19148
Batch,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,avg latency
1,1,388,139,816,30,193,1385,7,0,2569,2999,3149,3378,2570
2,1,584,277,1228,31,313,1559,7,0,3398,3812,3958,4105,3415
4,1,780,827,1625,101,571,1982,8,0,5054,5600,5673,5885,5114
8,1,936,1571,2920,128,1022,2850,10,1,8537,8981,9017,9117,8502
16,1,1024,2842,6212,144,1670,4571,13,3,15372,15850,15922,16112,15455
32,1,1024,11006,9805,243,2091,8024,18,10,31229,31631,31680,31820,31197
64,1,960,33644,10897,245,4262,14931,36,11,64026,64376,64376,64705,64026
