Batch,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,avg latency
1,8,856,95,570,5919,151,2567,7,0,9244,10743,11483,11811,9309
1,16,1235,103,1341,7174,433,3823,10,0,13581,13839,13897,14043,12884
1,24,1511,107,2010,8729,717,4196,14,0,16041,17689,20210,21620,15773
1,32,1723,122,3397,9137,1129,4702,19,0,18745,21698,22436,25483,18506
1,40,1810.19,144,4900,9986,1543,5314,23,0,22726,26727,27868,29565,21910
1,48,1967,152,4960,10865,2253,6010,30,0,24667,30470,32983,34441,24270
1,56,2001,157,7369,11043,2592,6476,34,0,28546,34915,37107,39967,27671
1,64,2039,170,8712,11638,2984,7062,39,0,31704,37149,37787,41972,30605
1,72,2223,170,7311,13687,3175,7534,41,0,32034,39608,41268,47534,31918
1,80,2155,157,9650,13948,3884,8270,50,0,38968,46559,47747,50360,35959
1,88,2221.78,162,10756,13947,4819,9372,60,0,41783,47911,49469,52389,39116
1,96,2393,169,10041,17264,3634,8214,47,0,40880,48722,50541,53430,39369
1,104,2308,164,12578,16908,4701,9257,58,0,45715,56759,59531,63566,43666
1,112,2403,165,11886,18426,5041,9984,63,0,46952,56237,60400,64735,45565
1,120,2458,170,12199,19842,4844,9990,63,0,48725,57516,61099,66521,47108
1,128,2509,204,14457,20110,5286,10523,66,0,52404,68783,70303,77074,50646
1,136,2325,188,20434,16288,7330,12489,89,0,64388,73114,75260,77531,56818
1,144,2446,174,18894,20198,6315,11993,82,0,62135,73397,74509,75514,57656
1,152,2563,198,14372,24100,6484,12340,83,0,57993,74930,76125,82244,57577
1,160,2650,291,13332,25611,7218,12991,90,0,60090,75803,77760,85430,59533
1,168,2504.5,204,21532,21743,7740,13335,97,0,71675,82079,82478,87230,64651
1,176,2556,274,19394,22979,8595,15329,106,0,67147,84276,85245,90324,66677
1,184,2634,375,12061,31989,7995,14826,100,0,65427,84658,90467,95281,67346
1,192,2744,455,10562,34619,7701,14203,99,0,69312,80199,83716,87256,67639
1,200,2752,451,11725,34126,7757,14840,102,0,69206,82054,83352,95242,69001
1,208,2683,341,19196,31370,8854,15492,114,0,79790,90575,93279,103755,75367
1,216,2818,517,14512,36060,8371,14777,108,0,77082,86699,92417,103029,74345
1,224,2882,541,11343,40982,7892,15168,106,0,76298,88876,94514,98723,76032
1,232,2679,461,22692,32270,8888,17015,129,0,85841,100298,104037,107608,81455
1,240,2809,587,15674,39503,8947,16717,116,0,82181,96241,100029,108693,81544
1,248,2878,657,12639,44859,8617,16211,114,0,82556,100695,105402,116994,83097
1,256,2669,691,13748,48469,10394,16922,133,0,92053,111152,113285,129525,90357
