Batch,Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency,avg latency
16,8,8032,36,311,6425,200,6391,2254,0,17559,17796,17898,18109,15617
16,16,13712,38,288,6549,449,6702,4396,0,21859,22966,23189,23735,18422
16,24,16592,40,379,9215,573,6908,5619,0,25412,26370,26783,27315,22734
16,32,18432,42,457,10530,692,6897,8801,0,29990,30837,31121,31937,27419
16,40,19788.2,43,528,13256,817,7171,9775,0,34042,34952,35621,37247,31590
16,48,20928,43,708,15579,809,7182,11819,0,38446,39285,39695,40942,36140
16,56,21456,46,851,18421,822,7551,13402,0,43452,44569,44644,45345,41093
16,64,22032,48,812,19790,1276,7543,16357,0,48254,50770,51562,53098,45826
16,72,22416,53,1182,22433,1285,7227,18386,0,52716,53863,54258,56714,50566
16,80,22688,52,1258,24535,1465,7383,20544,0,57646,59200,60067,63927,55237
16,88,23008,56,1693,26888,1489,7335,22546,0,62580,63693,64849,66514,60007
16,96,22608,66,1032,29049,1908,7478,24928,0,66877,68919,70597,73322,64461
16,104,22704,62,1555,31427,1916,7615,26729,0,71685,75659,76755,78092,69304
16,112,23248,66,1696,34390,2186,7621,28141,0,76217,77979,78763,79126,74100
16,120,23296,59,2110,35115,2861,7067,31861,0,81437,83323,84116,85255,79073
16,128,23184,64,2078,36963,2789,7407,34461,0,85972,88433,90881,91219,83762
16,136,23280,88,2116,41738,3188,7067,35264,0,91123,93832,95022,110123,89461
16,144,23872,86,1942,43044,4803,7042,36786,0,96549,100539,101344,106161,93703
16,152,23648,110,1868,45518,3537,7498,39742,0,100474,103058,107687,120481,98273
16,160,23552,173,1817,48201,3968,7457,41013,0,104550,106974,107435,111520,102629
16,168,23712,143,2671,51796,6322,6514,42879,0,113252,123890,128509,135120,110325
16,176,22745.3,290,2017,54366,12328,6009,40831,0,118176,126756,127995,142276,115841
16,184,22912,219,2907,54949,7723,6676,46635,0,121175,127971,137033,144618,119109
16,192,23248,438,1775,60123,10386,6420,46956,0,128567,134699,143467,147397,126098
16,200,22896,352,2538,60648,20186,5646,42389,0,134348,136712,137132,141570,131759
16,208,22912,427,2641,62020,18590,5910,46092,0,138999,142738,152132,159904,135680
16,216,22080,588,1438,67963,18903,6339,46855,0,143294,145109,166873,175533,142086
16,224,22000,590,2444,68979,22483,5745,46118,0,148600,151524,154475,155196,146359
16,232,22448,850,2201,72243,25878,5437,43684,0,151413,152314,152563,153388,150293
16,240,22400,747,2176,75310,22869,5948,49578,0,157779,160505,176462,182450,156628
16,248,22976,557,3147,79144,22281,6037,49110,0,161674,169076,183116,193942,160276
16,256,22656,696,3035,92293,16097,6348,44739,0,165646,181947,188546,189524,163208
